shear_rate_temporal,shear_strain_temporal,shear_stress_temporal,viscosity
-0.099451308,-288.42106,-0.1014628,1.0202259
-0.09945332400000001,-288.42598,-0.10144841,1.0200605
-0.099455839,-288.43202,-0.10142364,1.0197856
-0.09945876099999999,-288.43896,-0.10139167,1.0194343000000001
-0.09946197400000001,-288.44651,-0.10135667,1.0190494
-0.099465351,-288.45436,-0.10132316,1.0186779000000001
-0.09946876,-288.46222,-0.10129544,1.0183644
-0.099472075,-288.46977999999996,-0.10127699,1.0181449
-0.09947518400000001,-288.47679,-0.10127003,1.0180432
-0.099477995,-288.48304,-0.10127538,1.0180681999999999
-0.09948043300000001,-288.48838,-0.10129236,1.0182139000000001
-0.099482446,-288.4927,-0.101319,1.0184611
-0.099483995,-288.49591000000004,-0.10135227,1.0187796999999998
-0.099485058,-288.49799,-0.10138842,1.0191321
-0.09948561800000001,-288.49891,-0.10142333,1.0194773000000001
-0.099485672,-288.49867,-0.10145293,1.0197743000000001
-0.09948522,-288.49728999999996,-0.10147367,1.0199874
-0.099484276,-288.4948,-0.1014829,1.0200898
-0.09948286099999999,-288.49126,-0.10147928,1.020068
-0.09948100800000001,-288.48676,-0.10146306,1.0199239
-0.099478764,-288.48141,-0.10143604,1.0196753
-0.099476189,-288.47535,-0.10140145,1.019354
-0.099473354,-288.46876000000003,-0.10136351,1.0190016
-0.09947034,-288.46181,-0.10132681,1.0186636
-0.099467233,-288.45471000000003,-0.10129576,1.0183832
-0.09946412199999999,-288.44766,-0.10127391,1.0181954
-0.09946109800000001,-288.44085,-0.10126364,1.0181231
-0.099458243,-288.43448,-0.10126586,1.0181745999999998
-0.099455639,-288.42871,-0.10128002,1.0183437
-0.09945336,-288.42371,-0.10130426,1.0186107
-0.099451474,-288.41964,-0.10133561,1.0189453000000002
-0.099450044,-288.41663,-0.10137039,1.0193097
-0.099449127,-288.41482,-0.1014045,1.0196621
-0.09944877099999999,-288.4143,-0.10143388,1.0199611
-0.09944901,-288.41516,-0.10145495,1.0201706
-0.099449858,-288.41742,-0.10146505,1.0202634
-0.099451308,-288.42106,-0.1014628,1.0202259
